DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-16,4860.0,4888.7,4827.2,4861.3,5165.0,3046.05,HAL
2025-10-15,4747.0,4880.0,4747.0,4845.2,5165.0,3046.05,HAL
2025-10-14,4755.0,4793.9,4730.1,4746.8,5165.0,3046.05,HAL
2025-10-13,4810.0,4819.9,4723.0,4745.4,5165.0,3046.05,HAL
2025-10-10,4835.0,4899.7,4827.0,4832.9,5165.0,3046.05,HAL
2025-10-09,4792.0,4863.2,4744.0,4846.3,5165.0,3046.05,HAL
2025-10-08,4842.0,4854.5,4762.9,4789.1,5165.0,3046.05,HAL
2025-10-07,4845.2,4872.9,4809.0,4837.6,5165.0,3046.05,HAL
2025-10-06,4870.4,4903.0,4831.2,4845.2,5165.0,3046.05,HAL
2025-10-03,4794.4,4877.0,4790.1,4870.4,5165.0,3046.05,HAL
2025-10-01,4732.0,4827.0,4721.1,4803.4,5165.0,3046.05,HAL
2025-09-30,4746.0,4779.0,4722.7,4746.5,5165.0,3046.05,HAL
2025-09-29,4750.0,4833.0,4703.5,4740.0,5165.0,3046.05,HAL
2025-09-26,4815.0,4822.3,4726.2,4736.1,5165.0,3046.05,HAL
2025-09-25,4725.0,4827.6,4710.0,4775.2,5165.0,3046.05,HAL
2025-09-24,4797.0,4816.8,4715.0,4723.9,5165.0,3046.05,HAL
2025-09-23,4814.5,4834.8,4758.1,4799.9,5165.0,3046.05,HAL
2025-09-22,4916.2,4941.3,4798.0,4808.7,5165.0,3046.05,HAL
2025-09-19,4856.8,4930.0,4852.0,4916.2,5165.0,3046.05,HAL
2025-09-18,4885.0,4902.1,4846.0,4856.8,5165.0,3046.05,HAL
2025-09-17,4842.1,4931.0,4834.0,4890.2,5165.0,3046.05,HAL
2025-09-16,4794.9,4843.0,4760.4,4840.0,5165.0,3046.05,HAL
2025-09-15,4790.0,4845.0,4780.0,4795.2,5165.0,3046.05,HAL
2025-09-12,4581.2,4750.0,4581.2,4745.6,5165.0,3046.05,HAL
2025-09-11,4565.0,4634.0,4544.3,4581.2,5165.0,3046.05,HAL
2025-09-10,4471.9,4566.0,4430.2,4557.5,5165.0,3046.05,HAL
2025-09-09,4450.0,4474.0,4427.7,4454.0,5165.0,3046.05,HAL
2025-09-08,4424.0,4470.0,4420.1,4443.6,5165.0,3046.05,HAL
2025-09-05,4444.0,4475.0,4389.0,4404.8,5165.0,3046.05,HAL
2025-09-04,4479.0,4479.0,4425.1,4436.9,5165.0,3046.05,HAL
2025-09-03,4451.5,4480.7,4428.4,4451.0,5165.0,3046.05,HAL
2025-09-02,4438.5,4495.0,4431.3,4451.5,5165.0,3046.05,HAL
2025-09-01,4341.0,4448.6,4323.0,4429.6,5165.0,3046.05,HAL
2025-08-29,4344.7,4415.0,4320.0,4332.6,5165.0,3046.05,HAL
2025-08-28,4384.0,4430.0,4338.5,4344.7,5165.0,3046.05,HAL
2025-08-26,4456.0,4457.0,4370.0,4383.6,5165.0,3046.05,HAL
2025-08-25,4510.0,4513.0,4451.6,4457.6,5165.0,3046.05,HAL
2025-08-22,4485.2,4532.0,4463.0,4473.0,5165.0,3046.05,HAL
2025-08-21,4490.0,4526.8,4430.7,4474.0,5165.0,3046.05,HAL
2025-08-20,4600.0,4605.0,4460.0,4468.4,5165.0,3046.05,HAL
2025-08-19,4510.0,4510.0,4425.1,4452.6,5165.0,3046.05,HAL
2025-08-18,4590.6,4600.0,4502.4,4514.3,5165.0,3046.05,HAL
2025-08-14,4537.0,4568.5,4472.4,4555.1,5165.0,3046.05,HAL
2025-08-13,4439.0,4568.6,4425.0,4524.4,5165.0,3046.05,HAL
2025-08-12,4467.0,4489.6,4325.0,4409.4,5165.0,3046.05,HAL
2025-08-11,4460.0,4545.0,4439.0,4444.9,5165.0,3046.05,HAL
2025-08-08,4542.0,4549.9,4433.5,4440.6,5165.0,3046.05,HAL
2025-08-07,4502.9,4560.0,4483.0,4550.6,5165.0,3046.05,HAL
2025-08-06,4619.0,4619.0,4509.5,4538.6,5165.0,3046.05,HAL
2025-08-05,4537.0,4586.0,4500.0,4578.2,5165.0,3046.05,HAL
2025-08-04,4438.7,4544.9,4424.2,4537.9,5165.0,3046.05,HAL
2025-08-01,4533.9,4540.9,4428.0,4438.7,5165.0,3046.05,HAL
2025-07-31,4464.0,4577.4,4464.0,4533.9,5165.0,3046.05,HAL
2025-07-30,4525.0,4560.0,4500.9,4545.0,5165.0,3046.05,HAL
2025-07-29,4470.1,4519.0,4401.0,4498.0,5165.0,3046.05,HAL
2025-07-28,4549.9,4595.0,4476.5,4506.6,5165.0,3046.05,HAL
2025-07-25,4680.0,4680.1,4543.1,4552.7,5165.0,3046.05,HAL
2025-07-24,4715.8,4746.2,4670.0,4680.6,5165.0,3046.05,HAL
2025-07-23,4771.0,4779.5,4666.0,4715.8,5165.0,3046.05,HAL
2025-07-22,4775.0,4809.9,4748.1,4758.2,5165.0,3046.05,HAL
2025-07-21,4651.7,4758.1,4633.0,4751.0,5165.0,3046.05,HAL
2025-07-18,4804.8,4808.9,4643.3,4651.7,5535.0,3046.05,HAL
2025-07-17,4875.0,4889.0,4780.0,4789.3,5535.0,3046.05,HAL
2025-07-16,4898.0,4903.0,4852.0,4871.6,5535.0,3046.05,HAL
2025-07-15,4899.0,4932.0,4882.0,4896.8,5535.0,3046.05,HAL
2025-07-14,4866.1,4915.0,4840.0,4886.2,5535.0,3046.05,HAL
2025-07-11,4881.0,4920.0,4819.7,4866.1,5674.75,3046.05,HAL
2025-07-10,5007.4,5034.0,4890.2,4915.6,5674.75,3046.05,HAL
2025-07-09,5012.0,5065.0,4993.8,5007.4,5674.75,3046.05,HAL
2025-07-08,5010.0,5049.8,4966.5,5002.5,5674.75,3046.05,HAL
2025-07-07,4994.0,5048.6,4955.0,5012.6,5674.75,3046.05,HAL
2025-07-04,4955.0,5020.0,4943.8,4993.2,5674.75,3046.05,HAL
2025-07-03,4881.0,4971.8,4881.0,4931.2,5674.75,3046.05,HAL
2025-07-02,4912.2,4939.7,4845.0,4898.3,5674.75,3046.05,HAL
2025-07-01,4877.9,4955.0,4877.0,4912.2,5674.75,3046.05,HAL
2025-06-30,4910.0,4920.0,4845.0,4869.8,5674.75,3046.05,HAL
2025-06-27,4835.0,4905.2,4828.5,4897.9,5674.75,3046.05,HAL
2025-06-26,4816.8,4852.5,4795.1,4817.1,5674.75,3046.05,HAL
2025-06-25,4900.0,4900.0,4785.0,4792.7,5674.75,3046.05,HAL
2025-06-24,5050.0,5051.8,4875.0,4886.5,5674.75,3046.05,HAL
2025-06-23,4973.1,5060.0,4973.0,5028.2,5674.75,3046.05,HAL
2025-06-20,4910.0,4983.0,4853.0,4973.1,5674.75,3046.05,HAL
2025-06-19,5020.0,5031.5,4844.0,4902.3,5674.75,3046.05,HAL
2025-06-18,5054.0,5068.0,4985.0,4994.0,5674.75,3046.05,HAL
2025-06-17,5079.0,5132.6,5040.0,5047.3,5674.75,3046.05,HAL
2025-06-16,5048.8,5110.0,4990.0,5063.7,5674.75,3046.05,HAL
2025-06-13,4900.0,5083.5,4892.1,5026.0,5674.75,3046.05,HAL
2025-06-12,5050.0,5075.0,4936.1,4956.0,5674.75,3046.05,HAL
2025-06-11,5134.5,5145.0,5020.0,5039.8,5674.75,3046.05,HAL
2025-06-10,5040.0,5147.0,5022.1,5112.1,5674.75,3046.05,HAL
2025-06-09,5014.2,5033.5,4987.0,5008.6,5674.75,3046.05,HAL
2025-06-06,5092.9,5099.0,4970.0,4989.3,5674.75,3046.05,HAL
2025-06-05,5000.0,5099.0,4990.0,5071.6,5674.75,3046.05,HAL
2025-06-04,5000.0,5050.0,4891.0,4959.8,5674.75,3046.05,HAL
2025-06-03,5027.0,5055.9,4970.0,4989.2,5674.75,3046.05,HAL
2025-06-02,4970.0,5035.0,4950.0,5017.1,5674.75,3046.05,HAL
2025-05-30,5004.0,5065.0,4958.4,4974.1,5674.75,3046.05,HAL
2025-05-29,5040.0,5043.0,4964.0,5000.7,5674.75,3046.05,HAL
2025-05-28,5069.0,5075.0,5001.0,5017.8,5674.75,3046.05,HAL
2025-05-27,5003.2,5110.0,4979.0,5029.1,5674.75,3046.05,HAL
2025-05-26,4990.0,5034.1,4950.0,5003.2,5674.75,3046.05,HAL
2025-05-23,5058.0,5061.9,4950.5,4961.6,5674.75,3046.05,HAL
2025-05-22,5001.1,5064.5,4962.0,5040.0,5674.75,3046.05,HAL
2025-05-21,4830.0,5009.9,4779.3,5001.1,5674.75,3046.05,HAL
2025-05-20,4950.0,4998.7,4838.1,4851.3,5674.75,3046.05,HAL
2025-05-19,5140.0,5157.9,4972.0,5016.3,5674.75,3046.05,HAL
2025-05-16,4874.0,5165.0,4833.6,5127.7,5674.75,3046.05,HAL
2025-05-15,4825.0,4883.0,4747.2,4864.8,5674.75,3046.05,HAL
2025-05-14,4647.9,4798.0,4580.1,4768.0,5674.75,3046.05,HAL
2025-05-13,4466.7,4648.8,4460.7,4609.8,5674.75,3046.05,HAL
2025-05-12,4603.1,4608.0,4420.0,4439.7,5674.75,3046.05,HAL
2025-05-09,4380.0,4579.2,4360.2,4501.2,5674.75,3046.05,HAL
2025-05-08,4488.0,4538.0,4386.0,4422.9,5674.75,3046.05,HAL
2025-05-07,4417.4,4591.8,4411.8,4470.3,5674.75,3046.05,HAL
2025-05-06,4602.0,4675.0,4490.0,4507.5,5674.75,3046.05,HAL
2025-05-05,4536.8,4598.5,4511.9,4590.8,5674.75,3046.05,HAL
2025-05-02,4499.0,4597.0,4478.0,4492.4,5674.75,3046.05,HAL
2025-04-30,4610.0,4637.0,4466.2,4487.9,5674.75,3046.05,HAL
2025-04-29,4473.0,4660.0,4448.5,4609.3,5674.75,3046.05,HAL
2025-04-28,4209.9,4439.9,4200.5,4426.3,5674.75,3046.05,HAL
