DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-17,346.9,354.4,331.1,334.75,407.95,312.5,VIKRAMSOLR
2025-10-16,351.5,352.0,338.65,341.9,407.95,312.5,VIKRAMSOLR
2025-10-15,344.0,352.75,343.5,348.35,407.95,312.5,VIKRAMSOLR
2025-10-14,329.4,347.5,328.1,343.85,407.95,312.5,VIKRAMSOLR
2025-10-13,324.0,325.6,320.5,322.65,407.95,312.5,VIKRAMSOLR
2025-10-10,328.05,330.35,323.65,326.85,407.95,312.5,VIKRAMSOLR
2025-10-09,321.05,329.0,319.05,327.65,407.95,312.5,VIKRAMSOLR
2025-10-08,321.0,324.95,319.15,320.2,407.95,312.5,VIKRAMSOLR
2025-10-07,326.5,328.7,322.2,323.3,407.95,312.5,VIKRAMSOLR
2025-10-06,331.75,332.05,324.45,327.25,407.95,312.5,VIKRAMSOLR
2025-10-03,331.85,335.7,328.4,331.25,407.95,312.5,VIKRAMSOLR
2025-10-01,317.0,333.9,315.1,331.85,407.95,312.5,VIKRAMSOLR
2025-09-30,321.65,323.55,315.0,315.85,407.95,312.5,VIKRAMSOLR
2025-09-29,325.95,326.5,320.0,321.6,407.95,312.5,VIKRAMSOLR
2025-09-26,334.0,334.0,320.35,323.3,407.95,312.5,VIKRAMSOLR
2025-09-25,328.1,339.2,325.25,334.0,407.95,312.5,VIKRAMSOLR
2025-09-24,327.0,333.85,322.45,327.1,407.95,312.5,VIKRAMSOLR
2025-09-23,333.0,335.45,326.0,326.85,407.95,312.5,VIKRAMSOLR
2025-09-22,336.0,345.0,332.0,333.0,407.95,312.5,VIKRAMSOLR
2025-09-19,339.6,341.3,336.4,337.7,407.95,312.5,VIKRAMSOLR
2025-09-18,345.0,351.7,340.0,341.05,407.95,312.5,VIKRAMSOLR
2025-09-17,355.0,355.7,346.35,348.3,407.95,312.5,VIKRAMSOLR
2025-09-16,363.45,365.8,354.5,356.2,407.95,312.5,VIKRAMSOLR
2025-09-15,360.8,370.95,357.45,361.45,407.95,312.5,VIKRAMSOLR
2025-09-12,376.0,376.0,354.6,357.25,407.95,312.5,VIKRAMSOLR
2025-09-11,380.9,382.0,365.7,370.15,407.95,312.5,VIKRAMSOLR
2025-09-10,385.0,407.95,371.15,378.8,407.95,312.5,VIKRAMSOLR
2025-09-09,349.8,363.95,342.25,360.6,381.65,312.5,VIKRAMSOLR
2025-09-08,331.0,356.7,330.45,346.9,381.65,312.5,VIKRAMSOLR
2025-09-05,322.85,324.8,312.5,322.85,381.65,312.5,VIKRAMSOLR
2025-09-04,335.0,336.5,321.0,322.15,381.65,321.0,VIKRAMSOLR
2025-09-03,326.05,339.4,323.0,331.85,381.65,323.0,VIKRAMSOLR
2025-09-02,330.0,334.05,323.3,325.5,381.65,323.3,VIKRAMSOLR
2025-09-01,339.85,346.5,326.0,328.3,381.65,326.0,VIKRAMSOLR
2025-08-29,356.0,362.75,334.3,336.55,381.65,333.65,VIKRAMSOLR
2025-08-28,363.6,375.0,350.55,354.3,381.65,333.65,VIKRAMSOLR
2025-08-26,338.0,381.65,333.65,356.4,381.65,333.65,VIKRAMSOLR
