DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-16,395.45,400.45,389.55,396.8,421.55,376.3,TATAMOTORS
2025-10-15,403.0,403.0,388.0,390.85,421.55,376.3,TATAMOTORS
2025-10-14,400.0,421.55,376.3,395.45,421.55,376.3,TATAMOTORS
2025-10-13,679.0,679.4,658.1,660.75,940.0,535.75,TATAMOTORS
2025-10-10,684.8,688.6,666.9,678.95,948.45,535.75,TATAMOTORS
2025-10-09,684.6,685.0,668.8,681.1,948.45,535.75,TATAMOTORS
2025-10-08,694.9,702.0,679.0,681.55,948.45,535.75,TATAMOTORS
2025-10-07,712.65,712.9,697.15,698.05,948.45,535.75,TATAMOTORS
2025-10-06,718.0,718.5,703.95,712.65,948.45,535.75,TATAMOTORS
2025-10-03,718.5,739.7,715.0,716.1,996.95,535.75,TATAMOTORS
2025-10-01,681.0,720.0,679.2,718.35,996.95,535.75,TATAMOTORS
2025-09-30,672.0,683.5,666.65,680.2,996.95,535.75,TATAMOTORS
2025-09-29,684.0,685.0,670.0,672.5,996.95,535.75,TATAMOTORS
2025-09-26,666.0,680.35,662.35,672.9,1000.4,535.75,TATAMOTORS
2025-09-25,669.9,675.0,655.3,664.3,1000.4,535.75,TATAMOTORS
2025-09-24,700.5,703.3,681.3,682.95,1000.4,535.75,TATAMOTORS
2025-09-23,701.8,707.8,697.0,701.35,1000.4,535.75,TATAMOTORS
2025-09-22,709.0,712.0,694.85,696.25,1000.4,535.75,TATAMOTORS
2025-09-19,713.5,713.5,704.95,707.45,1000.4,535.75,TATAMOTORS
2025-09-18,722.0,725.25,707.6,711.2,1000.4,535.75,TATAMOTORS
2025-09-17,715.0,722.95,714.3,719.15,1000.4,535.75,TATAMOTORS
2025-09-16,715.0,719.7,705.0,713.25,1000.4,535.75,TATAMOTORS
2025-09-15,715.3,721.95,711.55,712.9,1000.4,535.75,TATAMOTORS
2025-09-12,708.0,718.9,707.35,715.25,1049.95,535.75,TATAMOTORS
2025-09-11,710.2,712.0,704.55,705.85,1049.95,535.75,TATAMOTORS
2025-09-10,717.65,720.0,702.7,709.1,1049.95,535.75,TATAMOTORS
2025-09-09,721.15,722.25,713.5,715.55,1049.95,535.75,TATAMOTORS
2025-09-08,695.0,722.0,694.05,719.5,1049.95,535.75,TATAMOTORS
2025-09-05,690.9,697.35,683.1,691.7,1105.0,535.75,TATAMOTORS
2025-09-04,705.9,706.35,685.7,687.5,1105.0,535.75,TATAMOTORS
2025-09-03,688.0,693.45,685.0,692.05,1105.0,535.75,TATAMOTORS
2025-09-02,690.15,694.65,681.65,684.4,1105.0,535.75,TATAMOTORS
2025-09-01,671.3,691.5,670.55,690.15,1105.0,535.75,TATAMOTORS
2025-08-29,675.45,681.15,668.0,669.0,1142.0,535.75,TATAMOTORS
2025-08-28,679.9,680.9,667.8,675.45,1142.0,535.75,TATAMOTORS
2025-08-26,686.8,686.95,678.3,681.65,1142.0,535.75,TATAMOTORS
2025-08-25,683.75,688.9,680.3,686.8,1142.0,535.75,TATAMOTORS
2025-08-22,685.9,691.5,678.6,680.3,1142.0,535.75,TATAMOTORS
2025-08-21,694.0,694.95,685.0,685.4,1142.0,535.75,TATAMOTORS
2025-08-20,700.25,700.8,689.0,689.6,1142.0,535.75,TATAMOTORS
2025-08-19,676.75,703.35,673.1,700.25,1142.0,535.75,TATAMOTORS
2025-08-18,677.0,685.0,672.9,676.0,1142.0,535.75,TATAMOTORS
2025-08-14,666.0,666.55,657.7,664.6,1142.0,535.75,TATAMOTORS
2025-08-13,657.2,667.0,656.65,663.75,1142.0,535.75,TATAMOTORS
2025-08-12,651.1,660.95,650.8,654.1,1142.0,535.75,TATAMOTORS
2025-08-11,636.2,655.0,627.1,653.75,1142.0,535.75,TATAMOTORS
2025-08-08,647.95,652.95,630.0,633.7,1142.0,535.75,TATAMOTORS
2025-08-07,650.0,651.7,635.5,646.5,1142.0,535.75,TATAMOTORS
2025-08-06,655.0,658.0,650.4,652.85,1142.0,535.75,TATAMOTORS
2025-08-05,655.95,658.9,650.55,654.6,1142.0,535.75,TATAMOTORS
2025-08-04,650.05,656.8,646.0,653.6,1142.0,535.75,TATAMOTORS
2025-08-01,667.95,667.95,647.0,648.85,1179.0,535.75,TATAMOTORS
2025-07-31,659.85,673.4,652.35,665.95,1179.0,535.75,TATAMOTORS
2025-07-30,690.0,690.0,665.25,668.45,1179.0,535.75,TATAMOTORS
2025-07-29,681.9,694.0,680.6,692.35,1179.0,535.75,TATAMOTORS
2025-07-28,690.7,700.5,681.4,682.9,1179.0,535.75,TATAMOTORS
2025-07-25,701.0,702.45,684.7,687.4,1179.0,535.75,TATAMOTORS
2025-07-24,692.7,706.5,692.3,700.5,1179.0,535.75,TATAMOTORS
2025-07-23,676.7,693.1,676.25,690.1,1179.0,535.75,TATAMOTORS
2025-07-22,688.0,688.85,672.35,673.4,1179.0,535.75,TATAMOTORS
2025-07-21,680.5,688.5,671.25,687.45,1179.0,535.75,TATAMOTORS
2025-07-18,683.2,686.0,678.0,680.25,1179.0,535.75,TATAMOTORS
2025-07-17,679.0,686.9,678.15,681.7,1179.0,535.75,TATAMOTORS
2025-07-16,684.4,684.4,676.35,679.0,1179.0,535.75,TATAMOTORS
2025-07-15,676.0,685.95,674.3,684.4,1179.0,535.75,TATAMOTORS
2025-07-14,681.0,681.0,672.0,674.5,1179.0,535.75,TATAMOTORS
2025-07-11,692.95,698.4,677.05,681.8,1179.0,535.75,TATAMOTORS
2025-07-10,692.0,696.75,685.0,695.6,1179.0,535.75,TATAMOTORS
2025-07-09,688.95,695.5,688.5,692.8,1179.0,535.75,TATAMOTORS
2025-07-08,693.0,696.95,687.5,693.2,1179.0,535.75,TATAMOTORS
2025-07-07,689.05,691.95,683.35,688.85,1179.0,535.75,TATAMOTORS
2025-07-04,691.0,692.85,686.35,689.05,1179.0,535.75,TATAMOTORS
2025-07-03,693.85,696.95,688.5,690.4,1179.0,535.75,TATAMOTORS
2025-07-02,683.8,692.45,680.65,688.55,1179.0,535.75,TATAMOTORS
2025-07-01,691.1,693.85,680.4,683.8,1179.0,535.75,TATAMOTORS
2025-06-30,688.9,691.9,685.0,688.0,1179.0,535.75,TATAMOTORS
2025-06-27,685.0,691.45,683.0,686.9,1179.0,535.75,TATAMOTORS
2025-06-26,677.0,683.7,674.45,682.75,1179.0,535.75,TATAMOTORS
2025-06-25,676.0,679.0,673.45,674.5,1179.0,535.75,TATAMOTORS
2025-06-24,678.0,686.5,672.0,673.65,1179.0,535.75,TATAMOTORS
2025-06-23,670.0,676.0,666.1,671.25,1179.0,535.75,TATAMOTORS
2025-06-20,673.4,678.8,670.1,676.2,1179.0,535.75,TATAMOTORS
2025-06-19,670.25,676.3,666.65,672.3,1179.0,535.75,TATAMOTORS
2025-06-18,671.85,679.35,668.0,670.25,1179.0,535.75,TATAMOTORS
2025-06-17,686.1,686.15,672.0,674.75,1179.0,535.75,TATAMOTORS
2025-06-16,711.0,714.0,672.95,686.65,1179.0,535.75,TATAMOTORS
2025-06-13,700.0,714.95,698.3,712.05,1179.0,535.75,TATAMOTORS
2025-06-12,737.0,737.7,711.25,715.35,1179.0,535.75,TATAMOTORS
2025-06-11,734.95,744.0,730.15,736.4,1179.0,535.75,TATAMOTORS
2025-06-10,721.0,734.75,715.35,732.25,1179.0,535.75,TATAMOTORS
2025-06-09,715.0,726.0,713.1,717.8,1179.0,535.75,TATAMOTORS
2025-06-06,710.0,715.9,701.2,711.0,1179.0,535.75,TATAMOTORS
2025-06-05,712.8,714.45,704.0,710.15,1179.0,535.75,TATAMOTORS
2025-06-04,701.8,715.45,698.4,709.15,1179.0,535.75,TATAMOTORS
2025-06-03,715.0,718.35,702.3,703.85,1179.0,535.75,TATAMOTORS
2025-06-02,717.0,719.0,707.4,711.6,1179.0,535.75,TATAMOTORS
2025-05-30,724.45,728.55,712.5,719.5,1179.0,535.75,TATAMOTORS
2025-05-29,724.5,728.7,720.0,724.45,1179.0,535.75,TATAMOTORS
2025-05-28,720.0,722.0,716.2,717.95,1179.0,535.75,TATAMOTORS
2025-05-27,729.0,729.35,715.2,716.45,1179.0,535.75,TATAMOTORS
2025-05-26,722.0,738.0,721.2,729.0,1179.0,535.75,TATAMOTORS
2025-05-23,718.75,721.8,715.0,718.25,1179.0,535.75,TATAMOTORS
2025-05-22,725.0,725.0,710.65,717.45,1179.0,535.75,TATAMOTORS
2025-05-21,719.0,729.5,718.0,726.8,1179.0,535.75,TATAMOTORS
